OBJECTID,name,dam_name,district,dist_sym,division,div_sym,dry,dist_to_infest_km,surface_area_km,connectivity,num_connections,perc_open_water_25mi,perc_perennial_snowice_25mi,perce_dev_openspace_25mi,perc_dev_lowintensity_25mi,perc_dev_medintensity_25mi,perc_dev_highintensity_25mi,perc_barren_25mi,perc_forest_25mi,perc_shrubscrub_25mi,perc_herbaceous_25mi,perc_haypasture_25mi,perc_crops_25mi,perc_wetland_25mi,perc_open_water_50mi,perc_perennial_snowice_50mi,perce_dev_openspace_50mi,perc_dev_lowintensity_50mi,perc_dev_medintensity_50mi,perc_dev_highintensity_50mi,perc_barren_50mi,perc_forest_50mi,perc_shrubscrub_50mi,perc_herbaceous_50mi,perc_haypasture_50mi,perc_crops_50mi,perc_wetland_50mi,mean_elev_m,mean_slope,perc_CaO_25mi,perc_alluvial_25mi,perc_eolian_25mi,perc_glacial_glaciofluvial_25mi,perc_colluvial_25mi,perc_organic_rich_25mi,perc_proglacial_25mi,perc_resid_volcanic_art_wat_25mi,hardness_range,min_hardness,max_hardness,pH_range,pH_min,pH_max,infest_status
357,J. Strom Thurmond Lake,J. Strom Thurmond Dam,Savannah District,SAS,South Atlantic Division,SAD,No,199.161406,284.7165558,Dam,1,3.365558178,0,4.866615815,2.931951254,1.260954101,0.44102628,0.430065418,59.97888814,4.762039174,5.988119007,11.2533026,0.869799081,3.851680949,2.887197396,0,5.510565508,3.036914,1.192271025,0.418134817,0.345451147,52.05294851,4.847590334,5.77558302,13.66789534,3.351708385,6.913740521,102.764411,0.242782133,3.40003621,0,0,0,0,0,0,100,11.0-21.0,11,21,5.0-6.5,5,6.5,0
358,Falls Lake,Falls Lake Dam,Wilmington District,SAW,South Atlantic Division,SAD,No,188.6134012,38.01126744,None,0,2.142959585,0,11.74222172,6.765267852,4.222484948,1.144357038,0.192385856,49.07895043,2.022901563,2.738865846,10.91089232,4.909742441,4.128970405,2.435286271,0,7.782553564,4.21308818,2.084460989,0.626380018,0.164416688,46.40013528,2.913394537,3.237405126,11.11662136,11.02776985,7.998488135,78.94827586,0.309389475,3.670080344,0,0,0,0,0,0,100,21.0-45.0,21,45,6.5-7.3,6.5,7.3,0
359,W. Kerr Scott Reservoir,W. Kerr Scott Dam,Wilmington District,SAW,South Atlantic Division,SAD,No,53.329132,5.255799243,None,0,0.62759161,0,8.60439703,2.996994499,0.903564221,0.357148174,0.09587952,64.06390935,1.833331257,1.18678248,16.97813333,2.188838907,0.163429619,1.192056208,0,8.244298323,3.091791081,1.010831419,0.369912884,0.109418122,61.6207375,1.699991091,1.310604796,17.99376761,3.075025269,0.281565697,323,0.687922382,4.639575178,0,0,0,0,0,0,100,45.0-119.0,45,119,6.8-7.8,6.8,7.8,0
360,Philpott Lake,Philpott Dam,Wilmington District,SAW,South Atlantic Division,SAD,No,134.4043867,10.46071086,None,0,0.426771676,0,5.705839488,2.11547247,0.659160022,0.223041242,0.036099161,67.16203983,2.440294847,2.43627293,17.52029877,1.06593422,0.208775347,1.047588029,0,6.753773603,3.58282197,1.461763157,0.563083425,0.086647549,60.01751955,2.343147146,2.29037648,19.70251322,1.780766545,0.369999327,309.3125,0.645911581,3.729908388,0,0,0,5.162013099,0,0,94.8379869,45.0-119.0,45,119,7.3-7.8,7.3,7.8,0
361,B. Everett Jordan Lake,B. Everett Jordan Dam,Wilmington District,SAW,South Atlantic Division,SAD,No,157.7325085,57.9723002,None,0,2.567453574,0,11.02737572,6.468511301,4.042618195,1.108488536,0.28180289,50.71189167,2.177942612,2.906957619,10.73813769,4.112801365,3.856018832,1.690605042,0,8.55259324,5.256434613,2.593083729,0.792639532,0.36078633,47.35727829,3.041967389,3.371877755,11.00400567,8.830730735,7.147997673,69.88764045,0.371643444,4.608511192,13.86996135,0,0,0,0,0,86.13003865,21.0-45.0,21,45,6.5-6.8,6.5,6.8,0
362,John H. Kerr Reservoir,John H Kerr Dam,Wilmington District,SAW,South Atlantic Division,SAD,No,200.4518417,200.0988778,None,0,2.736870821,0,4.843203215,1.61143744,0.479109907,0.181689939,0.083222276,58.61341448,4.907254079,5.72269342,13.91996954,3.502492823,3.398642054,1.945157246,0,6.005477807,3.004950585,1.373824248,0.435545118,0.109130822,52.82874901,4.317795418,5.089419666,12.86313794,6.575992698,5.450819444,94.06270627,0.224187465,3.433526208,0,0,0,0,0,0,100,21.0-45.0,21,45,6.8-7.3,6.8,7.3,0
365,Black Butte Lake,Black Butte Dam,Sacramento District,SPK,South Pacific Division,SPD,No,334.6034734,17.66007115,None,0,0.531745411,0,2.858032147,1.075466483,0.630211962,0.203803198,0.627825508,3.291730444,15.36526563,49.75443385,1.606459799,22.30925468,1.745770878,0.587084735,7.98E-06,3.092684644,0.916561859,0.59640278,0.177685614,0.315392264,13.78358813,28.35842359,33.26803117,1.032801873,16.10190093,1.769434441,146.8461538,0.538069234,5.605051894,20.48733242,0,0,0,0,0,79.51266758,45.0-119.0,45,119,7.8-8.1,7.8,8.1,0
366,H. V. Eastman Lake,Buchanan Dam,Sacramento District,SPK,South Pacific Division,SPD,No,129.5563658,7.375003433,None,0,0.506567818,0,3.159694382,1.053367609,0.683189476,0.198803441,0.058156487,22.25924597,12.51547384,36.17082109,0.16963094,22.82557264,0.399476309,0.983399687,0.024650339,2.342553413,1.474934862,1.653219385,0.558761855,0.641796769,18.87785305,14.87426368,24.74174049,0.594643043,31.33550808,1.896675352,183.5454545,1.101343485,2.889258067,0,0,0,0,0,0,100,119.0-225.0,119,225,6.8-7.3,6.8,7.3,0
367,Englebright Lake,Harry L. Englebright Dam,Sacramento District,SPK,South Pacific Division,SPD,No,269.3222665,2.995207025,None,0,1.481193787,0,5.729940426,1.653428394,1.293256794,0.403166936,0.640162709,43.80003087,9.169060759,18.31056041,0.256690795,16.55353202,0.708976103,1.099934337,3.24E-05,3.810296272,2.144892228,2.407794858,0.815837336,0.329068149,36.8488665,12.24749236,14.15042093,0.160899653,24.25292376,1.731541185,202.8,3.023722315,4.159973376,0,0,0,0,0,0,100,45.0-119.0,45,119,7.3-7.8,7.3,7.8,0
369,Hensley Lake,Hidden Dam,Sacramento District,SPK,South Pacific Division,SPD,No,133.9382751,6.414312051,None,0,0.609680659,0,3.771055598,2.086544082,3.100709405,1.031712152,0.066763933,20.53205107,9.990276,35.28076598,0.316400219,22.74678891,0.467251996,0.785746975,0.006737493,2.408349319,1.539510798,1.711390325,0.577774636,0.462922423,19.08342561,12.96369167,24.38268825,0.482131623,34.29891329,1.296717586,171.5555556,0.943273273,2.695156638,0,0,0,0,0,0,100,119.0-225.0,119,225,6.8-7.3,6.8,7.3,0
